Trip Id,Trip Duration (seconds),Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,Hour,AM_PM,Month,DayOfWeek,lat,lon,capacity,is_charging_station,nearby_distance,is_valet_station,weather_region,Temp (°C),Precip. Amount (mm)
31797665,2196,7707,09/01/2024 00:05,Coronation Park (Martin Goodman Trail),7042,09/01/2024 00:41,Sherbourne St / Wellesley St E,5125,Casual Member,0,AM,September,Sunday,43.635007,-79.403341,19.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797666,2185,7707,09/01/2024 00:05,Coronation Park (Martin Goodman Trail),7042,09/01/2024 00:41,Sherbourne St / Wellesley St E,4145,Casual Member,0,AM,September,Sunday,43.635007,-79.403341,19.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797667,432,7044,09/01/2024 00:05,Church St / Alexander St,7270,09/01/2024 00:12,Church St / Dundas St E - SMART,4936,Casual Member,0,AM,September,Sunday,43.663722,-79.380288,35.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797668,1421,7434,09/01/2024 00:05,91 Via Italia,7389,09/01/2024 00:29,College Park - Gerrard Entrance,7118,Casual Member,0,AM,September,Sunday,43.67665014253828,-79.44503029755326,38.0,True,450.0,,TORONTO_CITY,18.9,0.0
31797669,1131,7030,09/01/2024 00:05,Bay St / Wellesley St W,7324,09/01/2024 00:24,King St W / Charlotte St,2654,Casual Member,0,AM,September,Sunday,43.664088,-79.387095,35.0,False,1609.34,False,TORONTO_CITY,18.9,0.0
31797670,941,7526,09/01/2024 00:05,Bartlett Parkette,7641,09/01/2024 00:21,Annette St / Dundas St W,3602,Casual Member,0,AM,September,Sunday,43.6702236,-79.4360232,23.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797671,265,7014,09/01/2024 00:05,Sherbourne St / Carlton St (Allan Gardens),7044,09/01/2024 00:10,Church St / Alexander St,996,Casual Member,0,AM,September,Sunday,43.663102,-79.373181,17.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797673,444,7502,09/01/2024 00:05,University Ave / College St (East),7063,09/01/2024 00:13,Queen's Park / Bloor St W,459,Casual Member,0,AM,September,Sunday,43.65995,-79.38964,20.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797674,463,7437,09/01/2024 00:05,Concord Ave / Bloor St W,7205,09/01/2024 00:13,Rusholme Park Cres / College St,5299,Casual Member,0,AM,September,Sunday,43.66189,-79.42679,15.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797675,809,7682,09/01/2024 00:05,Bathurst St / Front St W,7285,09/01/2024 00:19,Spadina Ave / Harbord St - SMART,2943,Casual Member,0,AM,September,Sunday,43.64134790000001,-79.4013882,35.0,False,3218.68,,TORONTO_CITY_CENTRE,19.8,0.0
31797676,258,7006,09/01/2024 00:05,Bay St / College St (East Side),7055,09/01/2024 00:10,Jarvis St / Carlton St,5846,Annual Member,0,AM,September,Sunday,43.660439,-79.385525,31.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797677,600,7104,09/01/2024 00:05,King St E / River St,7258,09/01/2024 00:15,Queen St E / Rushbrooke Ave,9087,Casual Member,0,AM,September,Sunday,43.656784782853144,-79.35627385059036,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797679,3262,7273,09/01/2024 00:06,Bay St / Charles St W - SMART,7088,09/01/2024 01:00,Danforth Ave / Coxwell Ave,7489,Casual Member,0,AM,September,Sunday,43.668153,-79.38891,20.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797680,655,7207,09/01/2024 00:06,Dundas St W / Crawford St,7866,09/01/2024 00:17,697 Lansdowne Ave ,7510,Casual Member,0,AM,September,Sunday,43.649722,-79.416944,47.0,False,500.0,False,TORONTO_CITY,18.9,0.0
31797681,1665,7183,09/01/2024 00:06,St Clarens Ave / College St,7228,09/01/2024 00:34,King St W / Wilson Park Blvd,475,Casual Member,0,AM,September,Sunday,43.651238,-79.43868,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797683,172,7656,09/01/2024 00:06,Bloor St W / Brock Ave,7521,09/01/2024 00:09,Emerson Ave / Bloor St W,3734,Casual Member,0,AM,September,Sunday,43.6589882,-79.438715,11.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797684,673,7104,09/01/2024 00:06,King St E / River St,7336,09/01/2024 00:17,Queen St E / Alton Av,2871,Casual Member,0,AM,September,Sunday,43.656784782853144,-79.35627385059036,15.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797686,376,7190,09/01/2024 00:06,St. George St / Hoskin Ave,7078,09/01/2024 00:13,College St / Major St,2461,Annual Member,0,AM,September,Sunday,43.6637403,-79.39806449999999,13.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797687,1588,7076,09/01/2024 00:06,York St / Queens Quay W,7192,09/01/2024 00:33,Harbord St / Clinton St,1172,Casual Member,0,AM,September,Sunday,43.640132,-79.380464,57.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797688,589,7014,09/01/2024 00:06,Sherbourne St / Carlton St (Allan Gardens),7761,09/01/2024 00:16,Moss Park,6406,Casual Member,0,AM,September,Sunday,43.663102,-79.373181,17.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797689,879,7001,09/01/2024 00:06,Wellesley Station Green P,7248,09/01/2024 00:21,Baldwin St / Spadina Ave - SMART,8854,Casual Member,0,AM,September,Sunday,43.66496415990742,-79.38355031526893,23.0,True,500.0,,TORONTO_CITY,18.9,0.0
31797690,97,7389,09/01/2024 00:06,College Park - Gerrard Entrance,7006,09/01/2024 00:08,Bay St / College St (East Side),1811,Annual Member,0,AM,September,Sunday,43.658938,-79.383518,25.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797691,642,7273,09/01/2024 00:06,Bay St / Charles St W - SMART,7040,09/01/2024 00:17,Euclid Ave / Bloor St W,8043,Casual Member,0,AM,September,Sunday,43.668153,-79.38891,20.0,False,1000.0,,TORONTO_CITY,18.9,0.0
